index,cafe_nm,Latitude,Longitude,scores,geometry,coverage_count
2884,요거트가족,37.4690055,126.8989435,1.2769159913676853,POINT (37.4690055 126.8989435),15
17789,매머드익스프레스가산G밸리더리브스마트타워점,37.4716545,126.8835748,1.2713598441986351,POINT (37.4716545 126.8835748),16
13385,언덕위에,37.5578514,127.01883329999998,1.2704943446203862,POINT (37.5578514 127.01883329999998),1
20542,백억커피이태원점,37.5345294,126.9970412,1.269361737003366,POINT (37.5345294 126.9970412),14
20893,커피사피엔스강동고덕비즈밸리점,37.5654386,127.1602617,1.2687176074443622,POINT (37.5654386 127.1602617),12
432,푸르토아,37.4644036,126.90696909999998,1.2564064846963274,POINT (37.4644036 126.90696909999998),5
12689,카페,37.6413704,127.0409531,1.247555694052417,POINT (37.6413704 127.0409531),12
3214,317베이크샵,37.6068303,127.0607071,1.2468620542704358,POINT (37.6068303 127.0607071),11
16166,국민우유집,37.5012643,127.1084919,1.2465667367064552,POINT (37.5012643 127.1084919),18
18876,매머드익스프레스성수엠타워점,37.5440843,127.0464443,1.2406649963667535,POINT (37.5440843 127.0464443),32
1657,우드슬랩,37.4712406,126.8864977,1.2383937814968458,POINT (37.4712406 126.8864977),6
12216,이디야커피,37.4490661,126.9136456,1.2350027627611728,POINT (37.4490661 126.9136456),7
540,카페이루,37.6387841,127.0103711,1.2348544987003789,POINT (37.6387841 127.0103711),7
20712,도렐,37.5437789,127.0544035,1.2254373524515196,POINT (37.5437789 127.0544035),40
10034,메가엠지씨커피등촌,37.5456474,126.8627253,1.2254211214468005,POINT (37.5456474 126.8627253),18
3112,카페에이엠730,37.4724258,126.9033929,1.2228121867032693,POINT (37.4724258 126.9033929),7
8681,리버웨이,37.5481959,126.9191683,1.221533632716808,POINT (37.5481959 126.9191683),105
8374,루나카라,37.640001700000006,127.0137315,1.219877945583184,POINT (37.640001700000006 127.0137315),9
12182,커피소사이어티,37.4895974,126.9691688,1.219008342048025,POINT (37.4895974 126.9691688),1
1183,히카,37.4803968,126.87903529999998,1.2155231853129196,POINT (37.4803968 126.87903529999998),33
12987,솔샘로58,37.6136213,127.0096626,1.2132172235037213,POINT (37.6136213 127.0096626),7
15599,커피온유,37.462340600000005,126.904094,1.2068829006905488,POINT (37.462340600000005 126.904094),4
17215,커피빈종로구청앞점상,37.5718623,126.9794696,1.199673538882573,POINT (37.5718623 126.9794696),64
20814,카페도트,37.536793200000005,126.8677252,1.197413759669632,POINT (37.536793200000005 126.8677252),7
8436,메가엠지씨커피광운대역점,37.6228327,127.06069840000002,1.1951624834557673,POINT (37.6228327 127.06069840000002),9
16562,에프엠25.1,37.6201617,127.0613324,1.1918315561251096,POINT (37.6201617 127.0613324),5
4205,부칸산837,37.6550277,126.9507025,1.1903384095651022,POINT (37.6550277 126.9507025),6
17417,투썸플레이스,37.57039210000001,126.9741012,1.1888377958529046,POINT (37.57039210000001 126.9741012),55
4265,바람쐬다,37.540260100000005,126.8497943,1.1858031488233851,POINT (37.540260100000005 126.8497943),2
15862,653.1카페,37.4538838,126.9035619,1.181294978730822,POINT (37.4538838 126.9035619),17
7051,카페시트러스페이퍼,37.5427712,127.0127506,1.1771119435892243,POINT (37.5427712 127.0127506),6
4110,카페리카,37.5251972,127.0016123,1.1754739638762677,POINT (37.5251972 127.0016123),5
11398,커피마마퀸,37.5965138,126.9485692,1.1711531639889707,POINT (37.5965138 126.9485692),18
20045,퍼스트커피랩쌍문점,37.6518062,127.0268798,1.1699017378183671,POINT (37.6518062 127.0268798),6
10250,벌집다방,37.5692296,126.8261206,1.169177731499746,POINT (37.5692296 126.8261206),50
8808,포컵스,37.596886,127.0611039,1.1671884296141266,POINT (37.596886 127.0611039),21
5435,메가엠지씨커피강북번동점,37.6278641,127.0420896,1.1669870748243103,POINT (37.6278641 127.0420896),7
20305,작은공간,37.6107232,127.0483804,1.16688645650833,POINT (37.6107232 127.0483804),2
12038,CUP&COFFEE,37.4646697,126.9401429,1.1603456625623174,POINT (37.4646697 126.9401429),1
12524,An'scoffee,37.6138585,126.9597311,1.1598921456709763,POINT (37.6138585 126.9597311),2
18835,쥬시&차얌홈플러스시흥점,37.4518936,126.9007767,1.156002249450908,POINT (37.4518936 126.9007767),16
5580,위치맘,37.5518904,127.0335109,1.1496446737618484,POINT (37.5518904 127.0335109),3
11551,카페노킹온,37.5468921,126.860047,1.1411350680828904,POINT (37.5468921 126.860047),11
21051,카페일분,37.5982777,127.0548467,1.1348196520665756,POINT (37.5982777 127.0548467),13
15720,레끄레오,37.5556113,126.9230904,1.1316879950656744,POINT (37.5556113 126.9230904),85
91,에그카페,37.49729779999999,126.8423337,1.1268121835300422,POINT (37.49729779999999 126.8423337),10
20162,카페인총신대점베리타스드림,37.4877491,126.9669779,1.1258076636047425,POINT (37.4877491 126.9669779),9
20502,객기,37.5720454,126.92894409999998,1.124426512057814,POINT (37.5720454 126.92894409999998),5
9833,온세케이크,37.6178028,127.0559135,1.123480892780359,POINT (37.6178028 127.0559135),9
8434,부르클린커피,37.5706199,127.0712824,1.1209754812681698,POINT (37.5706199 127.0712824),21
8664,빽다방월드점,37.5009838,127.0250858,1.1204900990495106,POINT (37.5009838 127.0250858),37
7172,니커피,37.5586326,127.0066558,1.1183784945692938,POINT (37.5586326 127.0066558),11
15520,화신인스트루먼트공차역삼GFC점,37.499093,127.0362388,1.1125000216694354,POINT (37.499093 127.0362388),47
5714,아우프글렛,37.5644982,126.9253621,1.1123886328632595,POINT (37.5644982 126.9253621),100
3446,위샵,37.4831621,126.8770492,1.1022869542855585,POINT (37.4831621 126.8770492),20
1380,나우커피번동점,37.632965000000006,127.0344785,1.0990159280919425,POINT (37.632965000000006 127.0344785),3
1407,드뷰,37.60665170000001,127.0407421,1.0988378953519125,POINT (37.60665170000001 127.0407421),10
5594,카페자이고,37.4854062,126.8799441,1.098792224728342,POINT (37.4854062 126.8799441),18
19104,졸리테일즈,37.5311652,126.8550027,1.0964223546291585,POINT (37.5311652 126.8550027),8
5983,이터너,37.4978591,127.0220503,1.093772023027965,POINT (37.4978591 127.0220503),7
15966,커피볶는성군,37.5757043,127.073891,1.0846359215275674,POINT (37.5757043 127.073891),12
15868,카페다니엘푸드,37.5836509,126.9230262,1.0730050072298687,POINT (37.5836509 126.9230262),12
19223,딜라이트선상카페,37.5284454,126.9350664,1.0723169079548325,POINT (37.5284454 126.9350664),2
10713,키미아트,37.6129946,126.9742751,1.072250648868307,POINT (37.6129946 126.9742751),4
8692,블레스,37.5848073,127.0673358,1.0609723221906742,POINT (37.5848073 127.0673358),2
17463,투썸플레이스,37.4680295,126.9592795,1.0592123454907247,POINT (37.4680295 126.9592795),13
161,너섬카페,37.5232372,126.9330588,1.057808905984944,POINT (37.5232372 126.9330588),8
20301,더리틀포트,37.5025588,127.0525372,1.0558980912754117,POINT (37.5025588 127.0525372),49
604,이디야응봉동점,37.5505283,127.0311293,1.0552133172686722,POINT (37.5505283 127.0311293),2
19316,호두아이,37.612697100000005,127.013356,1.0523407988697209,POINT (37.612697100000005 127.013356),8
20689,넥스트커피랩에스엠타운,37.5441493,127.0433428,1.0489998241020766,POINT (37.5441493 127.0433428),23
2016,베세토까페에서지점,37.5716136,126.9767674,1.044793430558432,POINT (37.5716136 126.9767674),35
17710,성수한옥,37.5366774,127.0531241,1.0446912549504832,POINT (37.5366774 127.0531241),18
9627,이디야석수,37.434099200000006,126.9048111,1.044197023059,POINT (37.434099200000006 126.9048111),3
6774,망원시티,37.5534675,126.9016519,1.041391264465908,POINT (37.5534675 126.9016519),20
6410,센서리커피로스터스SensoryCoffeeRoasters,37.5485151,127.0240936,1.0407555054990518,POINT (37.5485151 127.0240936),19
13515,울트라브이팜,37.545869,127.0487528,1.0350807889293443,POINT (37.545869 127.0487528),49
18086,키쿠키앤커피성수,37.5448282,127.0515498,1.0338256214632442,POINT (37.5448282 127.0515498),39
15051,여의도커피,37.5188839,126.9319217,1.033810277159921,POINT (37.5188839 126.9319217),33
662,카페프리그,37.5788656,127.06798729999998,1.032464735034068,POINT (37.5788656 127.06798729999998),10
10609,할리스엘지리테일,37.569261700000006,126.9715584,1.030898708933611,POINT (37.569261700000006 126.9715584),25
19277,디스앤댓,37.6015208,127.04247279999998,1.029798022399388,POINT (37.6015208 127.04247279999998),18
7882,브루다한국노총,37.5219475,126.926957,1.026157842276775,POINT (37.5219475 126.926957),59
12375,디무무,37.5501196,127.0263587,1.025891918776242,POINT (37.5501196 127.0263587),9
1589,힐하우스,37.5447191,126.8655118,1.0258269195445886,POINT (37.5447191 126.8655118),6
11011,퍼스트펭귄카페,37.5521813,126.9184883,1.022374753674243,POINT (37.5521813 126.9184883),65
9820,깡통속별별이야기,37.6137001,127.0510496,1.0216032606691094,POINT (37.6137001 127.0510496),4
16423,스페이스제이피,37.5803647,126.9213301,1.0213028974303278,POINT (37.5803647 126.9213301),11
13630,커피베이,37.4970186,126.8451087,1.0190194647897142,POINT (37.4970186 126.8451087),13
6224,기쁨의열매정릉점,37.6025754,126.9980196,1.015741610755544,POINT (37.6025754 126.9980196),1
20903,메가엠지씨커피종로낙원점,37.57378189999999,126.9878886,1.0141378778227972,POINT (37.57378189999999 126.9878886),68
8216,카페미뇽,37.5491058,126.9162015,1.0095188144678684,POINT (37.5491058 126.9162015),67
990,너를봄,37.5024969,126.8959863,1.0082104867590893,POINT (37.5024969 126.8959863),4
14087,카페오동,37.6226272,127.0363228,1.0045987668748433,POINT (37.6226272 127.0363228),2
16212,매니비니,37.5764118,126.9909097,1.0017824619390314,POINT (37.5764118 126.9909097),27
2229,프라빈커피&브레드독바위역점,37.61824420000001,126.9332318,0.996258140154576,POINT (37.61824420000001 126.9332318),5
2641,루바브,37.5629519,126.9277274,0.9961572505650508,POINT (37.5629519 126.9277274),76
2130,신도씨엔디,37.60074,127.0687564,0.9939107081374308,POINT (37.60074 127.0687564),4
12205,놀숲충무로,37.5615973,126.9981612,0.9915424971596636,POINT (37.5615973 126.9981612),36
16379,"하나,둘스페이스W",37.5046727,127.035398,0.9862905863347926,POINT (37.5046727 127.035398),45
2242,베러먼데이역삼이스턴점,37.4985391,127.0335091,0.985066876874126,POINT (37.4985391 127.0335091),55
6766,논현커피,37.5748831,126.9704056,0.983559049814163,POINT (37.5748831 126.9704056),31
118,간삼기획,37.558556200000005,127.0093619,0.9813857780796128,POINT (37.558556200000005 127.0093619),12
10364,동네커피,37.5816322,126.9892089,0.9810764189363445,POINT (37.5816322 126.9892089),15
8299,에이치와이제이곤트란쉐리에,37.5279966,126.9292801,0.980988134741158,POINT (37.5279966 126.9292801),7
2595,이디야쌍문동점,37.6488271,127.0272813,0.97949937913234,POINT (37.6488271 127.0272813),8
2003,커피앤스위트,37.4686362,126.9028265,0.97887215698286,POINT (37.4686362 126.9028265),10
6312,하우스까페,37.4545523,127.0766981,0.9760823899470888,POINT (37.4545523 127.0766981),1
6895,템즈,37.499263,127.12039070000002,0.9744829351710396,POINT (37.499263 127.12039070000002),17
