index,cafe_nm,Latitude,Longitude,scores,geometry
2567,랑데자뷰건대,37.54131029999999,127.0691792,0.4782590060747965,POINT (37.54131029999999 127.0691792)
19354,퍼스트커피랩노원역점,37.6560631,127.0652552,0.4779589265948541,POINT (37.6560631 127.0652552)
10105,코아시스,37.5335231,126.9920876,0.4777714475331991,POINT (37.5335231 126.9920876)
2898,코에오,37.5335231,126.9920876,0.4777714475331991,POINT (37.5335231 126.9920876)
1347,핸썸치즈카페,37.5166194,127.0374501,0.4776804312890806,POINT (37.5166194 127.0374501)
18222,오랑제뜨22,37.5619201,126.92325990000002,0.4772783777357594,POINT (37.5619201 126.92325990000002)
8963,아이엠,37.4874593,127.0350088,0.4770577429844887,POINT (37.4874593 127.0350088)
16277,블렌디스튜디오,37.4874593,127.0350088,0.4770577429844887,POINT (37.4874593 127.0350088)
15737,아이오쓰리에이스하이앤드점,37.540121500000005,127.0567694,0.4768975992227794,POINT (37.540121500000005 127.0567694)
19809,학산테라로사커피국립현대미술관지점서울관,37.5786162,126.980068,0.4761385326842105,POINT (37.5786162 126.980068)
10848,인투고,37.5424926,126.9873046,0.4758454357629633,POINT (37.5424926 126.9873046)
20224,로터스협동조합,37.5782749,126.9812388,0.4758058831871257,POINT (37.5782749 126.9812388)
14665,브레드빈,37.4985776,127.117888,0.4749784715362251,POINT (37.4985776 127.117888)
11550,이디야커피삼성,37.5104255,127.0650384,0.4749246741523443,POINT (37.5104255 127.0650384)
16279,아리스타커피,37.5600887,126.9966421,0.4747356854390103,POINT (37.5600887 126.9966421)
8824,아재커피정동점,37.5681665,126.9699548,0.4745689248061979,POINT (37.5681665 126.9699548)
6487,비마이게스트,37.5086863,127.0661573,0.4742747240417836,POINT (37.5086863 127.0661573)
17405,더벤티뱅뱅사거리점코리아,37.4905544,127.0333519,0.4741794344967874,POINT (37.4905544 127.0333519)
14636,더빈스11,37.560590000000005,126.9276028,0.4739475009871985,POINT (37.560590000000005 126.9276028)
5264,통인동커피공방위켄드,37.579567,126.9702279,0.4738403791142462,POINT (37.579567 126.9702279)
5481,네버더레스,37.5332853,126.9937879,0.4737606862283449,POINT (37.5332853 126.9937879)
19631,더오롯,37.5454375,127.1368458,0.4734803584702109,POINT (37.5454375 127.1368458)
12900,커피볶음,37.4954599,127.1263725,0.473067674236213,POINT (37.4954599 127.1263725)
2819,밀리언카페,37.50110170000001,126.891336,0.4730294391709571,POINT (37.50110170000001 126.891336)
18030,멍카페,37.50110170000001,126.891336,0.4730294391709571,POINT (37.50110170000001 126.891336)
20919,찌니베이크,37.48074329999999,126.9044472,0.4728404319225244,POINT (37.48074329999999 126.9044472)
10779,블루마운틴,37.6527084,127.0614895,0.4726374956186593,POINT (37.6527084 127.0614895)
18022,카페일마지오숙명여대점,37.5454625,126.9650617,0.4725292947798876,POINT (37.5454625 126.9650617)
4290,커피미미,37.507039,127.0813115,0.4723622565353658,POINT (37.507039 127.0813115)
12321,이디야커피목동신목점,37.5370003,126.8714673,0.4723597739970921,POINT (37.5370003 126.8714673)
8217,피렌체,37.5071469,127.0404786,0.4723279975460427,POINT (37.5071469 127.0404786)
16175,바나프레소충무로점,37.5603196,126.9962541,0.4722602404270201,POINT (37.5603196 126.9962541)
19362,메가엠지씨커피충무로역점,37.561351,126.9935691,0.4720970131037029,POINT (37.561351 126.9935691)
13015,카나나,37.5685638,126.9700512,0.4720234858961173,POINT (37.5685638 126.9700512)
10650,글라세라떼,37.5685638,126.9700512,0.4720234858961173,POINT (37.5685638 126.9700512)
582,마치,37.567823700000005,127.0720529,0.471938700331342,POINT (37.567823700000005 127.0720529)
14206,카페클라츠,37.5910669,127.0202884,0.4713428616550682,POINT (37.5910669 127.0202884)
3937,카페쿼리,37.6360653,127.0750572,0.4713370210343156,POINT (37.6360653 127.0750572)
3274,육월,37.6424809,127.02364740000002,0.4712176303962294,POINT (37.6424809 127.02364740000002)
3621,카페트릴,37.5046624,127.0804358,0.4710365497361087,POINT (37.5046624 127.0804358)
18204,더수가,37.4722115,126.9665813,0.4710226020587428,POINT (37.4722115 126.9665813)
4424,카페로뎀194,37.6254188,127.0186369,0.4702412666815957,POINT (37.6254188 127.0186369)
20838,새벽카페인,37.5010347,126.8889959,0.4693751272586659,POINT (37.5010347 126.8889959)
19913,깅꼬커피,37.5871088,126.8030815,0.4693456314000196,POINT (37.5871088 126.8030815)
21157,화로,37.5564971,126.901879,0.4686905574844464,POINT (37.5564971 126.901879)
14501,초콜릿아일랜드인,37.5748899,126.9910208,0.4684455204835707,POINT (37.5748899 126.9910208)
15008,애플21대치지점,37.5072347,127.0592306,0.468283823261109,POINT (37.5072347 127.0592306)
15020,스타카페,37.510675,127.0245865,0.468252629681785,POINT (37.510675 127.0245865)
